mention_week,median_tone,median_impact,mentions_count
2021-04-05,-6.76202860858258,-6.5,11
2021-04-05,-4.29362880886426,-4.0,8
2021-04-05,-6.06060606060607,-9.0,78
2021-03-29,-6.56424581005587,-10.0,566
2021-03-29,-6.13409415121256,-6.5,17
2021-03-29,-6.19834710743802,-10.0,9
2021-03-29,-5.79439252336449,-10.0,9
2021-03-29,-6.1576354679803,-5.8,35
2021-03-29,-5.49313358302122,-5.8,11
2021-03-29,-5.44720914593141,-7.2,15
2021-03-29,-6.72645739910314,-10.0,38
2021-03-29,-5.10805500982319,-6.5,31
2021-03-29,-5.11695906432749,-10.0,15
2021-03-29,-8.08729139922978,-9.0,42
2021-03-29,-4.82033304119194,-4.0,59
2021-03-29,-6.08628659476117,-9.5,21
2021-03-29,-7.20288115246098,-9.0,44
2021-03-29,-6.78362573099415,-6.5,47
2021-03-29,-6.47840531561462,-10.0,6
2021-03-29,-6.64652567975831,-7.0,9
2021-03-29,-6.12244897959184,-6.5,69
2021-03-29,-6.94006309148265,-9.5,119
2021-03-29,-4.05759162303664,-8.0,28
2021-03-29,-5.87248322147651,-2.0,23
2021-03-29,-6.96677384780279,-10.0,6
2021-03-29,-5.53359683794466,-6.5,11
2021-03-29,-7.40402193784278,-5.0,16
2021-03-29,-8.19277108433735,-9.0,30
2021-03-29,-3.46420323325635,-2.0,370
2021-03-29,-6.03217158176943,-9.0,12
2021-03-29,-6.77777777777778,-10.0,69
2021-03-29,-7.26817042606516,-10.0,8
2021-03-29,-7.57097791798107,-9.0,45
2021-03-29,-6.09756097560975,-7.2,62
2021-03-29,-6.77770794049863,-10.0,18
2021-03-29,-5.55207026348808,-10.0,65
2021-03-29,-4.21455938697318,-9.5,13
2021-03-29,-6.91489361702128,-9.0,43
2021-03-29,-6.70807453416149,-6.5,240
2021-03-29,-6.76691729323308,-7.2,101
2021-03-29,-6.91588785046729,-5.0,11
2021-03-29,-7.36543909348442,-10.0,56
2021-03-29,-9.20245398773004,-10.0,7
2021-03-29,-8.33333333333331,-6.5,37
2021-03-29,-6.77770794049863,-7.2,88
2021-03-29,-8.07017543859645,-2.0,9
