mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,google_search
2017-01-23,United Kingdom,Europe,36788,https://www.google.com/search?q=site:reuters.com+United Kingdom+news+after:2017-01-23+before:2017-01-30
2017-01-30,United States,North America,426117,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-01-30+before:2017-02-06
2017-01-30,Canada,North America,63234,https://www.google.com/search?q=site:bbc.com+Canada+news+after:2017-01-30+before:2017-02-06
2017-01-30,Iraq,Asia,61486,https://www.google.com/search?q=site:aljazeera.com+Iraq+news+after:2017-01-30+before:2017-02-06
2017-01-30,Iran,Asia,56054,https://www.google.com/search?q=site:reuters.com+Iran+news+after:2017-01-30+before:2017-02-06
2017-01-30,Syria,Asia,51024,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2017-01-30+before:2017-02-06
2017-02-06,United States,North America,375212,https://www.google.com/search?q=site:apnews.com+United States+news+after:2017-02-06+before:2017-02-13
2017-02-06,Syria,Asia,51250,https://www.google.com/search?q=site:apnews.com+Syria+news+after:2017-02-06+before:2017-02-13
2017-02-06,Israel,Asia,41949,https://www.google.com/search?q=site:npr.org+Israel+news+after:2017-02-06+before:2017-02-13
2017-02-06,Russia,Europe,31173,https://www.google.com/search?q=site:apnews.com+Russia+news+after:2017-02-06+before:2017-02-13
2017-02-06,United Kingdom,Europe,29190,https://www.google.com/search?q=site:aljazeera.com+United Kingdom+news+after:2017-02-06+before:2017-02-13
2017-02-13,United States,North America,280578,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-02-13+before:2017-02-20
2017-02-13,Pakistan,Asia,38909,https://www.google.com/search?q=site:pbs.org+Pakistan+news+after:2017-02-13+before:2017-02-20
2017-02-13,Russia,Europe,35559,https://www.google.com/search?q=site:reuters.com+Russia+news+after:2017-02-13+before:2017-02-20
2017-02-13,Syria,Asia,35194,https://www.google.com/search?q=site:dw.com+Syria+news+after:2017-02-13+before:2017-02-20
2017-02-13,North Korea,Asia,30521,https://www.google.com/search?q=site:reuters.com+North Korea+news+after:2017-02-13+before:2017-02-20
2017-02-20,United States,North America,283961,https://www.google.com/search?q=site:npr.org+United States+news+after:2017-02-20+before:2017-02-27
2017-02-20,Syria,Asia,60226,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2017-02-20+before:2017-02-27
2017-02-20,Iraq,Asia,38353,https://www.google.com/search?q=site:bbc.com+Iraq+news+after:2017-02-20+before:2017-02-27
2017-02-20,Israel,Asia,36989,https://www.google.com/search?q=site:bbc.com+Israel+news+after:2017-02-20+before:2017-02-27
2017-02-20,Malaysia,Asia,29067,https://www.google.com/search?q=site:apnews.com+Malaysia+news+after:2017-02-20+before:2017-02-27
2017-02-27,United States,North America,301432,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-02-27+before:2017-03-06
2017-02-27,Syria,Asia,47276,https://www.google.com/search?q=site:apnews.com+Syria+news+after:2017-02-27+before:2017-03-06
2017-02-27,Israel,Asia,42366,https://www.google.com/search?q=site:pbs.org+Israel+news+after:2017-02-27+before:2017-03-06
2017-02-27,Russia,Europe,31608,https://www.google.com/search?q=site:npr.org+Russia+news+after:2017-02-27+before:2017-03-06
2017-02-27,Turkey,Asia,25555,https://www.google.com/search?q=site:bbc.com+Turkey+news+after:2017-02-27+before:2017-03-06
2017-03-06,United States,North America,310870,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2017-03-06+before:2017-03-13
2017-03-06,Turkey,Asia,48540,https://www.google.com/search?q=site:apnews.com+Turkey+news+after:2017-03-06+before:2017-03-13
2017-03-06,Syria,Asia,42765,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2017-03-06+before:2017-03-13
2017-03-06,Iraq,Asia,33852,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2017-03-06+before:2017-03-13
2017-03-06,North Korea,Asia,29728,https://www.google.com/search?q=site:npr.org+North Korea+news+after:2017-03-06+before:2017-03-13
2017-03-13,United States,North America,293227,https://www.google.com/search?q=site:reuters.com+United States+news+after:2017-03-13+before:2017-03-20
2017-03-13,Syria,Asia,51784,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2017-03-13+before:2017-03-20
2017-03-13,France,Europe,48186,https://www.google.com/search?q=site:npr.org+France+news+after:2017-03-13+before:2017-03-20
2017-03-13,Israel,Asia,35825,https://www.google.com/search?q=site:pbs.org+Israel+news+after:2017-03-13+before:2017-03-20
2017-03-13,Turkey,Asia,31873,https://www.google.com/search?q=site:apnews.com+Turkey+news+after:2017-03-13+before:2017-03-20
2017-03-20,United States,North America,244461,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2017-03-20+before:2017-03-27
2017-03-20,United Kingdom,Europe,136893,https://www.google.com/search?q=site:dw.com+United Kingdom+news+after:2017-03-20+before:2017-03-27
2017-03-20,Syria,Asia,39822,https://www.google.com/search?q=site:dw.com+Syria+news+after:2017-03-20+before:2017-03-27
2017-03-20,Israel,Asia,39218,https://www.google.com/search?q=site:dw.com+Israel+news+after:2017-03-20+before:2017-03-27
2017-03-20,Russia,Europe,33591,https://www.google.com/search?q=site:bbc.com+Russia+news+after:2017-03-20+before:2017-03-27
2017-03-27,United States,North America,267341,https://www.google.com/search?q=site:bbc.com+United States+news+after:2017-03-27+before:2017-04-03
2017-03-27,Russia,Europe,36187,https://www.google.com/search?q=site:aljazeera.com+Russia+news+after:2017-03-27+before:2017-04-03
2017-03-27,United Kingdom,Europe,35035,https://www.google.com/search?q=site:reuters.com+United Kingdom+news+after:2017-03-27+before:2017-04-03
2017-03-27,Israel,Asia,29366,https://www.google.com/search?q=site:pbs.org+Israel+news+after:2017-03-27+before:2017-04-03
2017-03-27,Iraq,Asia,22405,https://www.google.com/search?q=site:apnews.com+Iraq+news+after:2017-03-27+before:2017-04-03
2017-04-03,Syria,Asia,295302,https://www.google.com/search?q=site:bbc.com+Syria+news+after:2017-04-03+before:2017-04-10
2017-04-03,United States,North America,267891,https://www.google.com/search?q=site:npr.org+United States+news+after:2017-04-03+before:2017-04-10
2017-04-03,Russia,Europe,105651,https://www.google.com/search?q=site:reuters.com+Russia+news+after:2017-04-03+before:2017-04-10
2017-04-03,Sweden,Europe,49288,https://www.google.com/search?q=site:npr.org+Sweden+news+after:2017-04-03+before:2017-04-10
2017-04-03,United Kingdom,Europe,39290,https://www.google.com/search?q=site:npr.org+United Kingdom+news+after:2017-04-03+before:2017-04-10
