mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2017-04-03,Sweden,Europe,49288,7148
2017-04-03,United Kingdom,Europe,39290,13624
2017-04-10,United States,North America,283550,82480
2017-04-10,Syria,Asia,126132,37115
2017-04-10,Russia,Europe,54353,20607
2017-04-10,Afghanistan,Asia,34434,8069
2017-04-10,Israel,Asia,32669,7823
2017-04-17,United States,North America,276180,74821
2017-04-17,France,Europe,65122,14974
2017-04-17,Syria,Asia,32800,14611
2017-04-17,Israel,Asia,32337,9814
2017-04-17,Russia,Europe,30998,13991
2017-04-24,United States,North America,294639,75788
2017-04-24,Syria,Asia,47691,16913
2017-04-24,Israel,Asia,39499,10445
2017-04-24,Turkey,Asia,35415,13842
2017-04-24,North Korea,Asia,35142,7207
2017-05-01,United States,North America,285387,73070
2017-05-01,France,Europe,30972,8005
2017-05-01,Israel,Asia,29906,7663
2017-05-01,Syria,Asia,29130,11883
2017-05-01,United Kingdom,Europe,22829,8602
2017-05-08,United States,North America,246302,67417
2017-05-08,Russia,Europe,27695,10953
2017-05-08,Israel,Asia,27168,8591
2017-05-08,Syria,Asia,26152,10089
2017-05-08,United Kingdom,Europe,22992,8982
2017-05-15,United States,North America,270454,72929
2017-05-15,Israel,Asia,34739,9473
2017-05-15,Syria,Asia,32853,12150
2017-05-15,Russia,Europe,32043,11915
2017-05-15,United Kingdom,Europe,26868,10559
2017-05-22,United States,North America,258914,68338
2017-05-22,United Kingdom,Europe,88582,24666
2017-05-22,Philippines,Asia,39284,11015
2017-05-22,Egypt,Africa,31746,11733
2017-05-22,Israel,Asia,31263,8197
2017-05-29,United States,North America,210808,61721
2017-05-29,United Kingdom,Europe,81042,17900
2017-05-29,Afghanistan,Asia,42743,8178
2017-05-29,Philippines,Asia,38358,11502
2017-05-29,Russia,Europe,24320,11587
2017-06-05,United States,North America,255404,68683
2017-06-05,United Kingdom,Europe,94488,25175
2017-06-05,Qatar,Asia,52718,16132
2017-06-05,Iran,Asia,47959,13494
2017-06-05,Australia,Oceania,30728,8233
2017-06-12,United States,North America,315466,76998
2017-06-12,United Kingdom,Europe,43544,12579
2017-06-12,Russia,Europe,37864,14954
2017-06-12,Israel,Asia,25402,7568
2017-06-12,Syria,Asia,25292,10295
2017-06-19,United States,North America,266932,74048
2017-06-19,United Kingdom,Europe,51092,14617
2017-06-19,Syria,Asia,44454,17154
2017-06-19,Russia,Europe,29782,13436
2017-06-19,Pakistan,Asia,24572,7726
2017-06-26,United States,North America,274703,73407
2017-06-26,Syria,Asia,45330,17110
2017-06-26,Israel,Asia,28172,7462
2017-06-26,Russia,Europe,23522,10768
2017-06-26,United Kingdom,Europe,21607,8902
2017-07-03,United States,North America,223215,59242
2017-07-03,Syria,Asia,28584,9984
2017-07-03,Germany,Europe,28209,8314
2017-07-03,Russia,Europe,24763,9363
2017-07-03,Iraq,Asia,19627,7717
2017-07-10,United States,North America,223083,63086
2017-07-10,Israel,Asia,44586,11848
2017-07-10,United Kingdom,Europe,23761,8512
2017-07-10,Syria,Asia,23229,8510
2017-07-10,Iraq,Asia,22852,8117
2017-07-17,United States,North America,217089,64836
2017-07-17,Israel,Asia,110388,22012
2017-07-17,Syria,Asia,22790,10243
2017-07-17,Russia,Europe,22117,10086
2017-07-17,Australia,Oceania,21126,5106
2017-07-24,United States,North America,236431,69406
2017-07-24,Israel,Asia,92445,20858
2017-07-24,Russia,Europe,31774,13690
2017-07-24,Venezuela,South America,24222,8598
2017-07-24,United Kingdom,Europe,23533,8894
2017-07-31,United States,North America,232058,70391
2017-07-31,Russia,Europe,36806,14288
2017-07-31,Venezuela,South America,35042,11177
2017-07-31,Israel,Asia,30239,8383
2017-07-31,United Kingdom,Europe,24371,9612
2017-08-07,United States,North America,219178,64767
2017-08-07,Israel,Asia,28152,8292
2017-08-07,North Korea,Asia,24070,7498
2017-08-07,United Kingdom,Europe,21965,8116
2017-08-07,Venezuela,South America,19142,7252
2017-08-14,United States,North America,291468,74182
2017-08-14,Spain,Europe,94165,23884
